,trial,item_l,item_r,choice,rt,subj,YesNo,response,item,Item_l,Item_r,Item,A,repetitions
0,1,stim_mmpeanut.jpg,stim_babyruth.jpg,2.0,2.089112,601.0,0.0,,,10.0,2.0,0.0,1.0,
1,2,stim_crunch.jpg,stim_snickers.jpg,1.0,1.386093,601.0,0.0,,,4.0,15.0,0.0,1.0,
2,3,stim_hundredgrand.jpg,stim_whoppers.jpg,1.0,1.052016,601.0,0.0,,,6.0,17.0,0.0,1.0,
3,4,stim_butterfinger.jpg,stim_babyruth.jpg,2.0,1.385985,601.0,0.0,,,3.0,2.0,0.0,1.0,
4,5,stim_kitkat.jpg,stim_mmchocolate.jpg,1.0,2.421315,601.0,0.0,,,7.0,9.0,0.0,1.0,
5,6,stim_snickers.jpg,stim_mmpeanut.jpg,1.0,0.935094,601.0,0.0,,,15.0,10.0,0.0,1.0,
6,7,stim_milkyway.jpg,stim_crunch.jpg,2.0,1.603061,601.0,0.0,,,8.0,4.0,0.0,1.0,
7,8,stim_sourpatchkids.jpg,stim_kitkat.jpg,2.0,0.951793,601.0,0.0,,,16.0,7.0,0.0,1.0,
8,9,stim_reeses.jpg,stim_mmchocolate.jpg,2.0,1.168888,601.0,0.0,,,13.0,9.0,0.0,1.0,
9,10,stim_reeses.jpg,stim_mmpeanut.jpg,2.0,2.053957,601.0,0.0,,,13.0,10.0,0.0,1.0,
10,11,stim_whoppers.jpg,stim_snickers.jpg,2.0,1.018565,601.0,0.0,,,17.0,15.0,0.0,1.0,
11,12,stim_milkyway.jpg,stim_mrgoodbar.jpg,1.0,0.801512,601.0,0.0,,,8.0,11.0,0.0,1.0,
12,13,stim_mrgoodbar.jpg,stim_mmchocolate.jpg,2.0,0.667914,601.0,0.0,,,11.0,9.0,0.0,1.0,
13,14,stim_snickers.jpg,stim_skittles.jpg,1.0,0.985197,601.0,0.0,,,15.0,14.0,0.0,1.0,
14,15,stim_sourpatchkids.jpg,stim_milkyway.jpg,2.0,0.951793,601.0,0.0,,,16.0,8.0,0.0,1.0,
15,16,stim_kitkat.jpg,stim_fruitsnacks.jpg,2.0,1.552963,601.0,0.0,,,7.0,5.0,0.0,1.0,
16,17,stim_mmpeanut.jpg,stim_payday.jpg,2.0,3.790626,601.0,0.0,,,10.0,12.0,0.0,1.0,
17,18,stim_almondjoy.jpg,stim_hundredgrand.jpg,2.0,1.385982,601.0,0.0,,,1.0,6.0,0.0,1.0,
18,19,stim_kitkat.jpg,stim_crunch.jpg,1.0,1.603086,601.0,0.0,,,7.0,4.0,0.0,1.0,
19,20,stim_whoppers.jpg,stim_mrgoodbar.jpg,1.0,2.170821,601.0,0.0,,,17.0,11.0,0.0,1.0,
20,21,stim_milkyway.jpg,stim_mmchocolate.jpg,2.0,0.985207,601.0,0.0,,,8.0,9.0,0.0,1.0,
21,22,stim_whoppers.jpg,stim_milkyway.jpg,2.0,2.087342,601.0,0.0,,,17.0,8.0,0.0,1.0,
22,23,stim_almondjoy.jpg,stim_snickers.jpg,2.0,1.185601,601.0,0.0,,,1.0,15.0,0.0,1.0,
23,24,stim_fruitsnacks.jpg,stim_butterfinger.jpg,1.0,0.834927,601.0,0.0,,,5.0,3.0,0.0,1.0,
24,25,stim_whoppers.jpg,stim_babyruth.jpg,1.0,1.135472,601.0,0.0,,,17.0,2.0,0.0,1.0,
25,26,stim_skittles.jpg,stim_sourpatchkids.jpg,1.0,1.052002,601.0,0.0,,,14.0,16.0,0.0,1.0,
26,27,stim_butterfinger.jpg,stim_snickers.jpg,2.0,1.2023,601.0,0.0,,,3.0,15.0,0.0,1.0,
27,28,stim_mmchocolate.jpg,stim_babyruth.jpg,1.0,0.834905,601.0,0.0,,,9.0,2.0,0.0,1.0,
28,29,stim_kitkat.jpg,stim_milkyway.jpg,1.0,0.851626,601.0,0.0,,,7.0,8.0,0.0,1.0,
29,30,stim_mrgoodbar.jpg,stim_crunch.jpg,2.0,0.784843,601.0,0.0,,,11.0,4.0,0.0,1.0,
30,31,stim_skittles.jpg,stim_crunch.jpg,2.0,1.10211,601.0,0.0,,,14.0,4.0,0.0,1.0,
31,32,stim_almondjoy.jpg,stim_milkyway.jpg,2.0,1.319225,601.0,0.0,,,1.0,8.0,0.0,1.0,
32,33,stim_butterfinger.jpg,stim_milkyway.jpg,2.0,0.751453,601.0,0.0,,,3.0,8.0,0.0,1.0,
33,34,stim_fruitsnacks.jpg,stim_almondjoy.jpg,1.0,0.901699,601.0,0.0,,,5.0,1.0,0.0,1.0,
34,35,stim_crunch.jpg,stim_fruitsnacks.jpg,2.0,0.951802,601.0,0.0,,,4.0,5.0,0.0,1.0,
35,36,stim_babyruth.jpg,stim_hundredgrand.jpg,2.0,1.035323,601.0,0.0,,,2.0,6.0,0.0,1.0,
36,37,stim_kitkat.jpg,stim_babyruth.jpg,1.0,0.851606,601.0,0.0,,,7.0,2.0,0.0,1.0,
37,38,stim_skittles.jpg,stim_fruitsnacks.jpg,2.0,0.818261,601.0,0.0,,,14.0,5.0,0.0,1.0,
38,39,stim_butterfinger.jpg,stim_whoppers.jpg,2.0,1.285785,601.0,0.0,,,3.0,17.0,0.0,1.0,
39,40,stim_mmpeanut.jpg,stim_mmchocolate.jpg,2.0,1.00191,601.0,0.0,,,10.0,9.0,0.0,1.0,
40,41,stim_payday.jpg,stim_sourpatchkids.jpg,2.0,2.354546,601.0,0.0,,,12.0,16.0,0.0,1.0,
41,42,stim_sourpatchkids.jpg,stim_crunch.jpg,2.0,0.701322,601.0,0.0,,,16.0,4.0,0.0,1.0,
42,43,stim_hundredgrand.jpg,stim_payday.jpg,1.0,0.935111,601.0,0.0,,,6.0,12.0,0.0,1.0,
43,44,stim_snickers.jpg,stim_mrgoodbar.jpg,1.0,0.868293,601.0,0.0,,,15.0,11.0,0.0,1.0,
44,45,stim_milkyway.jpg,stim_hundredgrand.jpg,1.0,0.768108,601.0,0.0,,,8.0,6.0,0.0,1.0,
45,46,stim_reeses.jpg,stim_snickers.jpg,2.0,0.818244,601.0,0.0,,,13.0,15.0,0.0,1.0,
46,47,stim_crunch.jpg,stim_butterfinger.jpg,1.0,0.918413,601.0,0.0,,,4.0,3.0,0.0,1.0,
47,48,stim_butterfinger.jpg,stim_skittles.jpg,2.0,1.870237,601.0,0.0,,,3.0,14.0,0.0,1.0,
48,49,stim_hundredgrand.jpg,stim_snickers.jpg,2.0,0.8683,601.0,0.0,,,6.0,15.0,0.0,1.0,
49,50,stim_butterfinger.jpg,stim_almondjoy.jpg,2.0,3.022594,601.0,0.0,,,3.0,1.0,0.0,1.0,
50,51,stim_hundredgrand.jpg,stim_reeses.jpg,1.0,1.30248,601.0,0.0,,,6.0,13.0,0.0,1.0,
