alpha,tau,nu 1,nu 2,nu 3,nu 4,nu 5,nu 6,nu 7,nu 8,nu 9,nu 10,nu 11,nu 12,nu 13,nu 14,nu 15,nu 16,nu 17
2.4957179802679677,0.4570662881314171,-2.0452955493767346,-0.46816654909583866,-2.619116138912896,1.9803925269209197,2.5127989878353887,1.4674370645394827,1.5694281434752233,1.1950272320874773,2.0495978943652005,-3.2292190375720673,-3.2019025350363024,-2.029678724094107,-2.192426554153761,-1.2846437280375882,1.3260104389029106,-3.5041602121908784,-2.9351978662983753
2.2762747902076916,0.3730633174326683,3.8567313972331525,4.212680832107791,3.8695175123780747,3.052771548688981,2.8300895918907445,3.514295882463915,3.6564040900711894,-1.0688371409091013,-2.3296359976482033,1.2628786035544917,3.627836868315331,5.2475922689422,1.8632136652898146,1.705801392130983,2.4330638985499258,-0.13394767062380433,-3.6628910844268523
2.2088352263252222,0.34769747210733937,-4.900179994046293,-2.8103400099487104,-1.9628689669918542,3.9890211599526095,1.1647119718675742,0.6631578429923607,3.36932715088695,-4.050194291772529,-1.4150986921522013,-4.473759427835501,-3.368854372852585,-2.898298230461451,-2.236043054564754,-1.9748855209806402,-2.0828235849842707,-4.368009370663223,2.1403026068133273
1.8315856619030775,0.41352414376539853,-1.7950115452658757,-1.7079830211841407,2.1856738882101676,-1.7343893619023016,-2.085938129512626,2.6809903209996153,-2.409843769170952,3.008951806233099,-2.558266767750398,-2.4941103655472596,1.7714509136546877,2.0949936849377826,-2.327619906603022,-2.7108936593979256,-2.2889167612385646,-2.972988177879071,-2.5001247792887398
1.8390343627972345,0.44066068552370496,-3.9460424374861054,-4.499549885335614,-2.5747484078284426,2.5331009235145263,3.6102804088305116,-2.2892224094630915,4.914715808622171,2.5162796783182952,4.9086021549460925,-2.149565562702516,-2.591728155929708,-4.224884782657584,-3.659099300982905,3.979035224587402,4.160196949967496,2.876463119918702,-2.339180262801423
2.396168750740041,0.2560194801332283,0.21512631884331004,1.2140201299359097,1.5152812962200777,1.7441120244535708,-1.5676616533403394,1.4799333698062342,2.311397649897012,0.40807315294777263,0.7881040150304185,1.1692916011898313,2.8620216483476426,1.8896162004529706,1.4333528019739752,-1.1348737326410119,3.132687096323914,1.6353499603513042,1.6633251280542387
1.6905951802810304,0.4442919665801894,1.407643077804952,-1.42143688900198,1.605153640402963,3.778723478624468,2.1516958045432997,-3.3083749454630627,4.453119938765263,3.5381813210578583,2.084771027903039,-1.6815407442707995,1.9163704564900061,-3.162356117335301,4.22364089998408,-2.6466148288202134,3.1592622948293085,-1.9059392074504522,-3.1409661428732605
1.9673397364204335,0.38788438630774796,2.326036113343208,2.3095452446374876,3.367208955679051,2.4089195824726515,2.3005691200349694,1.6825634200342088,2.778594569385563,-1.3623002798918475,-1.8229801031650397,1.775938172350222,3.154446052243112,2.3766777404107606,-1.7610576739149932,-1.9152981099452602,1.3791196324793011,-1.2362297307044612,-2.7039686413896327
2.414508879928504,0.3721300022454386,-1.7983347679668735,2.141674172464828,2.448044322946946,1.388170540784557,2.0358485850037398,3.0099143130664836,1.6388180798190006,1.8042732102298156,-1.4413635892032544,1.435706568491862,-1.3871714827714285,2.888658872036314,2.8228010320114807,1.9773903102807668,1.4629762223615548,2.335060512809948,-1.7816019929702598
2.019314202894905,0.3681372696152626,4.926538750570263,-1.958880516171074,-3.255580215408315,-1.2668648935695408,4.0905822259537485,3.516643733732018,4.3548871066074515,0.24085598794470833,4.706078034630088,4.125096324504594,2.8225996286486117,-2.4948859657018483,3.674434188575491,4.236514054508848,4.664673800140123,3.879746341041522,-2.531488146566848
2.24702391055361,0.33627613815860224,3.134504797087661,3.6695212572923874,4.117388724675445,2.9427608386247193,-2.502104960117944,-2.737901906336733,5.800265069055476,5.760811401115647,6.192585171074631,3.9773391532371702,2.768279972519212,-3.0801094408403675,-2.4765982994144995,4.362803940686136,4.937820043394929,-2.67712580840869,4.506179254318409
2.5187630671193366,0.4408336610808472,0.7924965470753231,-0.5291017110435716,-1.3987237898430864,1.7959486387342731,-1.135391798352951,-2.989572462614158,4.33972145661438,2.1222035899891076,1.5536876788925826,-0.7122903026753332,-1.1135489415472422,-1.792159769849342,3.130478954733092,-1.2705303988018706,2.774720003481745,-1.6758429922016373,2.795788882217235
2.4988786214854226,0.37112603793148125,-2.1755849573839923,-1.43919484927579,-3.0197704114656814,1.1874999497855416,-1.0806597259707917,-1.2081501417093616,2.0466464869744185,2.2264288540702104,2.519395354231056,1.4008337533828175,1.8893271727931158,-2.130652769586568,-2.268301212407341,1.729189085586701,3.2615932798154406,0.8140766291960598,-2.542746914074685
2.662282007280532,0.32982861026761595,3.263829855835304,-1.6192407788567,1.1864549069407104,2.050135669830231,2.7534290074636023,-1.5049463610745786,-6.275569920358563e-5,-2.516992791216026,2.2308214005609974,2.3816665945842366,-1.495947001941364,-1.5230649480418779,1.889937775631464,0.0020500161984125,-2.273416969636181,-1.8012602054141975,2.7172070363254965
1.6952683368406376,0.4314341314293535,-2.401651799845559,-1.7183121630325289,2.808048780057602,2.3480492108001423,-3.394841665792736,-1.713501630461411,1.6220479053001586,-2.8535299395406697,2.7564539719983556,4.068215758943142,-3.056162222238774,-3.0690881021218694,1.6265149355466437,3.9501828486789012,-1.8456200628777406,2.0257187109491825,-2.473197154112474
1.5180791544949466,0.48538790393996517,-2.4004193693275777,-3.3231189403834214,-3.9026105742920727,-2.827520881739847,-2.471107723047636,-2.941934424996948,3.0849153294572247,-2.372477681342669,2.447452700898694,1.9361050482175723,-2.9777801006753077,-2.8793843256991996,-1.9645000413687397,3.773442864919291,-2.484256878406598,-3.5944155414110233,-3.325583677984146
