,subject,trial,leftrating,rightrating,rt,choice,correct
1,10,1,4,2,3808,1,1
2,10,2,3,2,1913,1,1
3,10,3,5,10,1121,0,1
4,10,4,6,6,2051,0,0
5,10,5,6,7,1655,0,1
6,10,9,6,2,2504,1,1
7,10,10,3,3,2002,1,0
8,10,11,6,5,1426,1,1
9,10,16,5,8,1065,0,1
10,10,17,6,8,1209,1,0
11,10,18,4,6,1604,0,1
12,10,19,2,6,1439,0,1
13,10,20,9,9,5744,0,0
14,10,22,1,5,1270,0,1
15,10,23,4,3,1452,1,1
16,10,24,2,2,3525,0,0
17,10,25,4,3,3439,1,1
18,10,26,1,2,3582,1,0
19,10,27,6,8,2023,1,0
20,10,28,2,5,1727,0,1
21,10,29,8,3,1368,1,1
22,10,30,10,5,1568,1,1
23,10,31,2,4,1697,0,1
24,10,32,8,7,1595,0,0
25,10,33,3,3,2701,1,0
26,10,34,2,7,1471,0,1
27,10,35,4,7,2055,0,1
28,10,36,4,9,1303,0,1
29,10,38,3,2,1304,0,0
30,10,39,6,5,1581,1,1
31,10,40,3,2,7866,1,1
32,10,41,10,5,1291,1,1
33,10,42,5,1,1433,1,1
34,10,43,9,6,1250,1,1
35,10,44,6,6,1409,0,0
36,10,45,10,9,1342,0,0
37,10,46,5,2,1363,0,0
38,10,47,4,3,2243,1,1
39,10,48,3,4,1288,0,1
40,10,49,7,2,1112,1,1
41,10,50,5,8,1538,0,1
42,10,51,10,5,807,1,1
43,10,52,7,2,1117,1,1
44,10,53,4,3,4096,1,1
45,10,54,6,2,1119,1,1
46,10,55,4,7,1970,0,1
47,10,56,3,6,1074,0,1
48,10,57,9,4,1668,1,1
49,10,58,1,3,2089,0,1
50,10,59,2,7,2241,0,1
51,10,60,3,7,937,0,1
52,10,61,6,8,1251,1,0
53,10,62,8,6,6836,1,1
54,10,63,1,3,1125,0,1
55,10,64,9,4,801,1,1
56,10,65,1,3,975,0,1
57,10,66,6,4,1514,1,1
58,10,67,1,4,682,0,1
59,10,68,2,6,1323,0,1
60,10,69,5,3,1009,1,1
61,10,70,6,9,1341,0,1
62,10,71,6,10,852,0,1
63,10,72,2,6,832,0,1
64,10,73,4,9,1025,0,1
65,10,74,4,9,1902,0,1
66,10,75,6,10,1277,0,1
67,10,76,6,10,755,0,1
68,10,77,6,8,1357,0,1
69,10,78,2,1,1427,1,1
70,10,79,7,3,928,1,1
71,10,80,2,4,1971,1,0
72,10,81,2,6,1167,0,1
73,10,82,4,6,1123,0,1
74,10,83,9,10,3939,0,1
75,10,84,4,5,1220,0,1
76,10,85,1,3,4142,0,1
77,10,86,4,3,1102,0,0
78,10,87,10,10,2291,1,0
79,10,88,2,6,745,0,1
80,10,89,2,2,1713,0,0
81,10,90,3,6,974,0,1
82,10,91,5,4,2256,0,0
83,10,92,6,3,834,1,1
84,10,93,2,4,1771,1,0
85,10,94,4,4,864,0,0
86,10,95,4,1,804,1,1
87,10,96,5,5,2060,0,0
88,10,97,1,5,1042,0,1
89,10,98,8,10,844,0,1
90,10,99,4,3,898,0,0
91,10,100,2,2,964,1,0
92,11,1,5,2,1672,1,1
93,11,2,9,8,1748,1,1
94,11,3,7,10,2104,0,1
95,11,4,8,2,4422,1,1
96,11,5,0,5,2940,1,0
97,11,6,8,8,4395,1,0
98,11,7,9,3,2623,1,1
99,11,8,2,7,1770,0,1
100,11,9,7,5,3117,1,1
101,11,10,10,7,1291,1,1
102,11,11,2,2,1846,0,0
103,11,12,2,7,1844,1,0
104,11,13,8,9,1692,0,1
105,11,14,4,9,2767,0,1
106,11,15,2,7,1758,0,1
107,11,16,1,2,1847,1,0
108,11,17,10,3,1106,1,1
