"","subj","trial","choice","roi","rt","upleftval","uprightval","downleftval","downrightval","fixdur","fixnum","revfixnum"
"1",1,1,0,3,6851.7,4,6,2,6,93.76,1,10
"2",1,1,0,1,6851.7,4,6,2,6,788.03,2,9
"3",1,1,0,3,6851.7,4,6,2,6,794,3,8
"4",1,1,0,2,6851.7,4,6,2,6,334.1,4,7
"5",1,1,0,4,6851.7,4,6,2,6,538.3,5,6
"6",1,1,0,3,6851.7,4,6,2,6,128.1,6,5
"7",1,1,0,1,6851.7,4,6,2,6,655.9,7,4
"8",1,1,0,3,6851.7,4,6,2,6,478,8,3
"9",1,1,0,2,6851.7,4,6,2,6,212,9,2
"10",1,1,0,4,6851.7,4,6,2,6,783.9,10,1
"11",1,2,0,3,5303.5,6,6,5,7,1.334,1,8
"12",1,2,0,1,5303.5,6,6,5,7,902.03,2,7
"13",1,2,0,3,5303.5,6,6,5,7,516,3,6
"14",1,2,0,4,5303.5,6,6,5,7,410,4,5
"15",1,2,0,2,5303.5,6,6,5,7,548.7,5,4
"16",1,2,0,1,5303.5,6,6,5,7,568.1,6,3
"17",1,2,0,2,5303.5,6,6,5,7,416,7,2
"18",1,2,0,4,5303.5,6,6,5,7,620.2,8,1
"19",1,3,1,1,6953.7,7,6,5,3,505.72,1,14
"20",1,3,1,3,6953.7,7,6,5,3,471.95,2,13
"21",1,3,1,2,6953.7,7,6,5,3,646.1,3,12
"22",1,3,1,4,6953.7,7,6,5,3,677.9,4,11
"23",1,3,1,2,6953.7,7,6,5,3,575.2,5,10
"24",1,3,1,3,6953.7,7,6,5,3,6.00000000000023,6,9
"25",1,3,1,1,6953.7,7,6,5,3,402,7,8
"26",1,3,1,3,6953.7,7,6,5,3,536,8,7
"27",1,3,1,1,6953.7,7,6,5,3,706.3,9,6
"28",1,3,1,2,6953.7,7,6,5,3,170,10,5
"29",1,3,1,4,6953.7,7,6,5,3,498,11,4
"30",1,3,1,1,6953.7,7,6,5,3,316.000000000001,12,3
"31",1,3,1,3,6953.7,7,6,5,3,676,13,2
"32",1,3,1,1,6953.7,7,6,5,3,62.1,14,1
"33",1,4,1,1,8105.8,4,6,7,5,2272.11,1,11
"34",1,4,1,3,8105.8,4,6,7,5,513.9,2,10
"35",1,4,1,4,8105.8,4,6,7,5,227.8,3,9
"36",1,4,1,1,8105.8,4,6,7,5,192,4,8
"37",1,4,1,2,8105.8,4,6,7,5,328.1,5,7
"38",1,4,1,4,8105.8,4,6,7,5,874.000000000001,6,6
"39",1,4,1,2,8105.8,4,6,7,5,525.9,7,5
"40",1,4,1,1,8105.8,4,6,7,5,263.3,8,4
"41",1,4,1,3,8105.8,4,6,7,5,682,9,3
"42",1,4,1,4,8105.8,4,6,7,5,160,10,2
"43",1,4,1,2,8105.8,4,6,7,5,313.9,11,1
"44",1,5,0,2,12091.7,6,6,5,5,373.9,1,17
"45",1,5,0,4,12091.7,6,6,5,5,286.03,2,16
"46",1,5,0,1,12091.7,6,6,5,5,679.82,3,15
"47",1,5,0,3,12091.7,6,6,5,5,642,4,14
"48",1,5,0,1,12091.7,6,6,5,5,677.9,5,13
"49",1,5,0,3,12091.7,6,6,5,5,307.9,6,12
"50",1,5,0,1,12091.7,6,6,5,5,2107.9,7,11
"51",1,5,0,3,12091.7,6,6,5,5,581.7,8,10
"52",1,5,0,1,12091.7,6,6,5,5,1660.1,9,9
"53",1,5,0,3,12091.7,6,6,5,5,446.5,10,8
"54",1,5,0,4,12091.7,6,6,5,5,166.2,11,7
"55",1,5,0,2,12091.7,6,6,5,5,607.899999999999,12,6
"56",1,5,0,4,12091.7,6,6,5,5,528,13,5
"57",1,5,0,3,12091.7,6,6,5,5,232.100000000001,14,4
"58",1,5,0,1,12091.7,6,6,5,5,12.0000000000005,15,3
"59",1,5,0,2,12091.7,6,6,5,5,568.000000000001,16,2
"60",1,5,0,4,12091.7,6,6,5,5,2.10000000000043,17,1
"61",1,6,1,1,8105.2,5,7,6,7,427.79,1,13
"62",1,6,1,3,8105.2,5,7,6,7,603.78,2,12
"63",1,6,1,1,8105.2,5,7,6,7,254.2,3,11
"64",1,6,1,3,8105.2,5,7,6,7,2,4,10
"65",1,6,1,1,8105.2,5,7,6,7,1232.7,5,9
"66",1,6,1,3,8105.2,5,7,6,7,568.1,6,8
"67",1,6,1,2,8105.2,5,7,6,7,466,7,7
"68",1,6,1,4,8105.2,5,7,6,7,693.9,8,6
"69",1,6,1,1,8105.2,5,7,6,7,362,9,5
"70",1,6,1,3,8105.2,5,7,6,7,9.90000000000002,10,4
"71",1,6,1,2,8105.2,5,7,6,7,529.9,11,3
"72",1,6,1,4,8105.2,5,7,6,7,715.9,12,2
"73",1,6,1,3,8105.2,5,7,6,7,67.8999999999998,13,1
"74",1,7,0,1,5546,6,5,4,5,634.01,1,11
"75",1,7,0,3,5546,6,5,4,5,307.94,2,10
